Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
1.1.24,1:10:20,Station,Contactless,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,1.1.24,23:30:00,0:50:00,0:50:00,On Time,,No
1.1.24,1:16:20,Online,Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,1.1.24,2:45:00,3:15:00,3:15:00,On Time,,No
1.1.24,3:02:34,Station,Contactless,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,1.1.24,4:30:00,5:50:00,5:50:00,On Time,,No
1.1.24,3:03:49,Online,Credit Card,None,Standard,Off-Peak,33,Birmingham New Street,London St Pancras,1.1.24,4:30:00,5:50:00,5:50:00,On Time,,No
1.1.24,3:35:48,Online,Credit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,1.1.24,5:00:00,5:30:00,5:30:00,On Time,,No
1.1.24,3:52:29,Online,Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2.1.24,2:15:00,3:35:00,,Cancelled,Technical Issue,No
1.1.24,4:09:42,Station,Credit Card,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,1.1.24,5:30:00,6:00:00,6:00:00,On Time,,No
1.1.24,4:31:41,Station,Credit Card,Disabled,Standard,Anytime,4,Liverpool Lime Street,Manchester Piccadilly,1.1.24,6:00:00,6:30:00,6:30:00,On Time,,No
1.1.24,4:54:54,Online,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,1.1.24,6:15:00,8:05:00,8:05:00,On Time,,No
1.1.24,5:05:29,Station,Contactless,None,Standard,Anytime,70,London Kings Cross,York,1.1.24,6:30:00,8:20:00,8:20:00,On Time,,No
1.1.24,5:07:28,Station,Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,1.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
1.1.24,5:09:30,Station,Credit Card,None,First Class,Advance,134,Manchester Piccadilly,London Euston,2.1.24,3:30:00,5:20:00,5:31:00,Delayed,Weather Conditions,No
1.1.24,5:14:54,Online,Credit Card,Disabled,Standard,Anytime,29,Birmingham New Street,London St Pancras,1.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
1.1.24,5:17:46,Station,Contactless,Adult,Standard,Anytime,47,London Kings Cross,York,1.1.24,6:45:00,8:35:00,8:35:00,On Time,,No
1.1.24,6:08:28,Online,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,1.1.24,7:30:00,9:20:00,9:20:00,On Time,,No
1.1.24,6:14:16,Online,Credit Card,None,Standard,Anytime,6,London Paddington,London Waterloo,1.1.24,7:30:00,9:00:00,9:00:00,On Time,,No
1.1.24,6:18:48,Station,Credit Card,None,Standard,Anytime,70,London Kings Cross,York,1.1.24,7:45:00,9:35:00,9:35:00,On Time,,No
1.1.24,6:34:08,Station,Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,1.1.24,8:00:00,10:15:00,10:39:00,Delayed,Weather,No
1.1.24,6:41:14,Online,Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,1.1.24,8:00:00,9:20:00,9:20:00,On Time,,No
1.1.24,6:48:45,Station,Credit Card,None,Standard,Anytime,7,Manchester Piccadilly,Sheffield,1.1.24,8:15:00,9:00:00,9:00:00,On Time,,No
1.1.24,7:20:14,Online,Contactless,None,Standard,Anytime,25,London Paddington,Reading,1.1.24,8:45:00,9:45:00,9:45:00,On Time,,No
1.1.24,7:23:47,Online,Credit Card,None,Standard,Anytime,25,London Paddington,Reading,1.1.24,7:45:00,8:45:00,8:45:00,On Time,,No
1.1.24,7:46:41,Station,Credit Card,None,Standard,Off-Peak,5,Liverpool Lime Street,Manchester Piccadilly,1.1.24,9:15:00,9:45:00,9:45:00,On Time,,No
1.1.24,8:12:21,Online,Credit Card,Disabled,Standard,Advance,15,Birmingham New Street,London St Pancras,2.1.24,6:30:00,7:50:00,7:50:00,On Time,,No
1.1.24,8:14:05,Online,Credit Card,Disabled,Standard,Advance,21,London St Pancras,Wolverhampton,2.1.24,6:30:00,8:00:00,8:00:00,On Time,,No
1.1.24,8:26:41,Online,Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2.1.24,7:45:00,8:15:00,8:15:00,On Time,,No
1.1.24,9:18:59,Station,Credit Card,Senior,Standard,Off-Peak,7,London Euston,Birmingham New Street,1.1.24,9:45:00,11:05:00,11:05:00,On Time,,No
1.1.24,9:30:09,Station,Credit Card,None,First Class,Advance,134,Manchester Piccadilly,London Euston,2.1.24,8:00:00,9:50:00,10:08:00,Delayed,Weather,No
1.1.24,10:17:33,Online,Credit Card,None,Standard,Off-Peak,53,London Kings Cross,York,1.1.24,11:45:00,13:35:00,13:35:00,On Time,,No
1.1.24,11:55:41,Station,Contactless,Senior,Standard,Off-Peak,3,Manchester Piccadilly,Liverpool Lime Street,1.1.24,13:15:00,13:45:00,13:45:00,On Time,,No
1.1.24,12:54:54,Online,Contactless,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,1.1.24,14:15:00,15:35:00,15:35:00,On Time,,No
1.1.24,14:02:52,Station,Contactless,None,Standard,Off-Peak,19,London Paddington,Reading,1.1.24,15:30:00,16:30:00,16:30:00,On Time,,No
1.1.24,14:30:03,Station,Contactless,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,1.1.24,16:00:00,16:30:00,16:30:00,On Time,,No
1.1.24,14:42:17,Station,Credit Card,Adult,Standard,Anytime,9,London Euston,Birmingham New Street,1.1.24,16:00:00,17:20:00,17:20:00,On Time,,No
